Welches Gewebe erscheint rot bei einer Safranin-Astrablau-Faerbung?;Phloem;Parenchym;Kollenchym ;Sklerenchym
Wofuer sind die Muster der Jahresringe eines Baumes hilfreich?;Gravitropie;Homorrhizie;Dendrochronologie;Allorhizie
Woraus besteht die Mittelamelle?;Cutikula;Cytoplasma;Carrageen ;Pektin 
Welches gewebe gehoert nicht zur Wurzel?;Rhizodermes ;Hypodermis ;Rindeparenchym;Epidermis 
Was ist keine Borkenart?;Ringborke ;Streifenborke ;Schuppenborke ;Kettenborke 
Was findet man NICHT in einem Nadelblatt?;Endodermis ;Transfusionsgewebe;Xylem;Rhizodermis 
Was gehoert  zum Periderm?;Phoellem ;Phloem ;Phosgen ;Phellogen
Was ist der Aristolochia-Typ?;Eichen-Typ;Pfeifenputzer-Typ;Linden-Typ;Pfeifenbinder -Typ
Was sind Meristeme?;Abschlussgewebe ;Festigungsgewebe ;Speichergewebe ;Bildungsgewebe 
Was ist keine Methode der Mikroskopie?;Schiefe Beleuchtung ;Phasenkontrast ;Dunkelfeld MiKrospkopie;Diagonale Beleuchtung 
Was ist keine Meristem Art?;Restmeristme ;Folgemeristme ;Meristemoide;Startmeristem 
Was ist ein Festigungsgewebe?;Siebzellen ;Markparenchym;Phloem ;Eckekollenchym
Welches Gewebe findest du im Blatt eines Helleborus niger?;Harzkanal ;Holzstrahl;Eckenkollenchym;Schwammparenchym
Was findet man nicht in einem Leitbuendel?;Tracheen ;Phloem ;Xylem;Hypodermis
Welches Gewebe gibt es nicht in einem Taubnessel Querschnitt?;Hypodermis ;Rindenparenchym;Eckenkollenchym;Pallisadenparenchym
Was kommt nicht in einer Zwiebelzelle vor?;Vakuole;Zellkern;Cytoplasma;faszikulaeres Kambium 
Welche Zelle gibt es nicht in einer Geranie?;Sklerenchym;Rindenparenchym;Epideremis ;Endodermis 
Was kommt nicht in einer Tulpe vor?;Rindenparenchym;Leitbuendel;Eckenkollenchym;Pallisadenparenchym
Was kommt in einem Nadelblatt vor? ;Phosgen ;Markparenchym;Eckenkollenchym;Hypodermis
